Date,Time,Month,Year,Sales
Jul-91,1,7,1991,3.526591
Aug-91,2,8,1991,3.180891
Sep-91,3,9,1991,3.252221
Oct-91,4,10,1991,3.611003
Nov-91,5,11,1991,3.565869
Dec-91,6,12,1991,4.306371
Jan-92,7,1,1992,5.088335
Feb-92,8,2,1992,2.81452
Mar-92,9,3,1992,2.985811
Apr-92,10,4,1992,3.20478
May-92,11,5,1992,3.127578
Jun-92,12,6,1992,3.270523
Jul-92,13,7,1992,3.73785082
Aug-92,14,8,1992,3.55877609
Sep-92,15,9,1992,3.77720173
Oct-92,16,10,1992,3.92449042
Nov-92,17,11,1992,4.38653092
Dec-92,18,12,1992,5.81054917
Jan-93,19,1,1993,6.19206769
Feb-93,20,2,1993,3.45085699
Mar-93,21,3,1993,3.77230686
Apr-93,22,4,1993,3.7343029
May-93,23,5,1993,3.90539892
Jun-93,24,6,1993,4.04968714
Jul-93,25,7,1993,4.31556552
Aug-93,26,8,1993,4.56218455
Sep-93,27,9,1993,4.60866203
Oct-93,28,10,1993,4.66785129
Nov-93,29,11,1993,5.09384145
Dec-93,30,12,1993,7.1799622
Jan-94,31,1,1994,6.73147308
Feb-94,32,2,1994,3.84127758
Mar-94,33,3,1994,4.39407557
Apr-94,34,4,1994,4.07534073
May-94,35,5,1994,4.5406449
Jun-94,36,6,1994,4.64561508
Jul-94,37,7,1994,4.75260653
Aug-94,38,8,1994,5.35060467
Sep-94,39,9,1994,5.20445484
Oct-94,40,10,1994,5.3016513
Nov-94,41,11,1994,5.77374216
Dec-94,42,12,1994,6.20459348
Jan-95,43,1,1995,6.74948382
Feb-95,44,2,1995,4.21606735
Mar-95,45,3,1995,4.94934946
Apr-95,46,4,1995,4.8230449
May-95,47,5,1995,5.19475419
Jun-95,48,6,1995,5.17078711
Jul-95,49,7,1995,5.25674157
Aug-95,50,8,1995,5.85527729
Sep-95,51,9,1995,5.49072901
Oct-95,52,10,1995,6.11529323
Nov-95,53,11,1995,6.08847284
Dec-95,54,12,1995,7.41659792
Jan-96,55,1,1996,8.32945212
Feb-96,56,2,1996,5.06979585
Mar-96,57,3,1996,5.26255667
Apr-96,58,4,1996,5.59712628
May-96,59,5,1996,6.110296
Jun-96,60,6,1996,5.68916084
Jul-96,61,7,1996,6.48684933
Aug-96,62,8,1996,6.30056933
